,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 44 기,1427203000000,제 43 기,1747647000000,제 42 기,1386678000000,1,
1,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 44 기,645092000000,제 43 기,562901000000,제 42 기,676365000000,2,
2,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 44 기,545258000000,제 43 기,536439000000,제 42 기,371308000000,3,
3,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 44 기,4179000000,제 43 기,9848000000,제 42 기,7763000000,4,
4,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 44 기,135256000000,제 43 기,131521000000,제 42 기,112700000000,5,
5,20200330004588,11011,2019,00164645,BS,재무상태표,dart_CurrentDerivativeAsset,유동파생상품자산,-,제 44 기,1000000,제 43 기,7000000,제 42 기,20000000,6,
6,20200330004588,11011,2019,00164645,BS,재무상태표,-표준계정코드 미사용-,금융리스채권,-,제 44 기,12295000000,제 43 기,0,제 42 기,0,7,
7,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,제 44 기,12710000000,제 43 기,317033000000,제 42 기,18471000000,8,
8,20200330004588,11011,2019,00164645,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 44 기,58507000000,제 43 기,189898000000,제 42 기,192223000000,9,
9,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,-,제 44 기,13905000000,제 43 기,0,제 42 기,7828000000,10,
10,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 44 기,5732984000000,제 43 기,2373793000000,제 42 기,2215740000000,11,
11,20200330004588,11011,2019,00164645,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권 및 기타비유동채권,-,제 44 기,259028000000,제 43 기,181909000000,제 42 기,192469000000,12,
12,20200330004588,11011,2019,00164645,BS,재무상태표,-표준계정코드 미사용-,장기투자자산,-,제 44 기,35193000000,제 43 기,50559000000,제 42 기,22403000000,13,
13,20200330004588,11011,2019,00164645,BS,재무상태표,dart_NoncurrentFinanceLeaseReceivable,금융리스채권,-,제 44 기,30357000000,제 43 기,12637000000,제 42 기,12157000000,14,
14,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_InvestmentsInJointVentures,공동기업투자,-,제 44 기,20617000000,제 43 기,20682000000,제 42 기,18386000000,15,
15,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_InvestmentsInAssociates,관계기업투자,-,제 44 기,252403000000,제 43 기,243320000000,제 42 기,108016000000,16,
16,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 44 기,2023528000000,제 43 기,1734100000000,제 42 기,1596765000000,17,
17,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 44 기,0,제 43 기,0,제 42 기,20497000000,18,
18,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 44 기,91533000000,제 43 기,77409000000,제 42 기,80273000000,19,
19,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 44 기,2961009000000,제 43 기,0,제 42 기,0,20,
20,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 44 기,41443000000,제 43 기,46543000000,제 42 기,37700000000,21,
21,20200330004588,11011,2019,00164645,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 44 기,11892000000,제 43 기,59000000,제 42 기,113189000000,22,
22,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 44 기,5981000000,제 43 기,6575000000,제 42 기,13885000000,23,
23,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 44 기,7160187000000,제 43 기,4121440000000,제 42 기,3602418000000,24,
24,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 44 기,1683674000000,제 43 기,1105603000000,제 42 기,680218000000,26,
25,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,-,제 44 기,582455000000,제 43 기,504830000000,제 42 기,476648000000,27,
26,20200330004588,11011,2019,00164645,BS,재무상태표,ifrs-full_CurrentProvisions,유동충당부채,-,제 44 기,4856000000,제 43 기,9859000000,제 42 기,23182000000,28,
27,20200330004588,11011,2019,00164645,BS,재무상태표,-표준계정코드 미사용-,유동성장기부채,-,제 44 기,945968000000,제 43 기,439785000000,제 42 기,155594000000,29,
28,20200330004588,11011,2019,00164645,BS,재무상태표,dart_CurrentDerivativeLiabilities,유동파생상품부채,-,제 44 기,0,제 43 기,151000000,제 42 기,962000000,30,
