,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200330004497,11011,2019,00117212,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 83 기,11048031755639,제 82 기,11585894165604,제 81 기,10867988262098,1,
1,20200330004497,11011,2019,00117212,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 83 기,1840833889385,제 82 기,2456189369971,제 81 기,2344600297096,2,
2,20200330004497,11011,2019,00117212,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 83 기,296380362231,제 82 기,395467218033,제 81 기,283255604788,3,
3,20200330004497,11011,2019,00117212,BS,재무상태표,-표준계정코드 미사용-,단기투자증권,-,제 83 기,129155768878,제 82 기,35673839601,제 81 기,133975273587,4,
4,20200330004497,11011,2019,00117212,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 83 기,2523770217794,제 82 기,2528325139425,제 81 기,2328337949101,5,
5,20200330004497,11011,2019,00117212,BS,재무상태표,-표준계정코드 미사용-,기타채권,-,제 83 기,680644700160,제 82 기,605416390270,제 81 기,500116696254,6,
6,20200330004497,11011,2019,00117212,BS,재무상태표,dart_ShortTermDueFromCustomersForContractWork,미청구공사,-,제 83 기,1868060276653,제 82 기,2006186031512,제 81 기,2050776983119,7,
7,20200330004497,11011,2019,00117212,BS,재무상태표,dart_CurrentDerivativeAsset,파생상품평가자산,-,제 83 기,37907546898,제 82 기,22986756677,제 81 기,75174106333,8,
8,20200330004497,11011,2019,00117212,BS,재무상태표,dart_CurrentFirmCommitmentAsset,확정계약자산,-,제 83 기,26665172484,제 82 기,9530070374,제 81 기,6253704029,9,
9,20200330004497,11011,2019,00117212,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 83 기,2681748260970,제 82 기,2608021732388,제 81 기,2351625599828,10,
10,20200330004497,11011,2019,00117212,BS,재무상태표,-표준계정코드 미사용-,매각예정자산,-,제 83 기,35320502217,제 82 기,,제 81 기,,11,
11,20200330004497,11011,2019,00117212,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 83 기,927545057969,제 82 기,918097617353,제 81 기,793872047963,12,
12,20200330004497,11011,2019,00117212,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 83 기,18121715060452,제 82 기,17294387454184,제 81 기,17901033635532,13,
13,20200330004497,11011,2019,00117212,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 83 기,4698786446,제 82 기,15756857975,제 81 기,31670231171,14,
14,20200330004497,11011,2019,00117212,BS,재무상태표,-표준계정코드 미사용-,장기투자증권,-,제 83 기,432322313186,제 82 기,204526462081,제 81 기,205974327642,15,
15,20200330004497,11011,2019,00117212,BS,재무상태표,-표준계정코드 미사용-,관계기업및공동기업투자,-,제 83 기,173874347708,제 82 기,173953843283,제 81 기,126562324106,16,
16,20200330004497,11011,2019,00117212,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 83 기,7953359055167,제 82 기,7768328605168,제 81 기,8198814853198,17,
17,20200330004497,11011,2019,00117212,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 83 기,7357788872212,제 82 기,7018209744701,제 81 기,6792010933796,18,
18,20200330004497,11011,2019,00117212,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 83 기,507187843886,제 82 기,454789644765,제 81 기,467850738041,19,
19,20200330004497,11011,2019,00117212,BS,재무상태표,dart_LongTermTradeReceivablesGross,장기매출채권,-,제 83 기,4486968691,제 82 기,11364182143,제 81 기,18578556010,20,
20,20200330004497,11011,2019,00117212,BS,재무상태표,-표준계정코드 미사용-,장기기타채권,-,제 83 기,740744349684,제 82 기,747991638334,제 81 기,1037325128700,21,
21,20200330004497,11011,2019,00117212,BS,재무상태표,dart_LongTermDueFromCustomersForContractWork,장기미청구공사,-,제 83 기,102739503644,제 82 기,,제 81 기,,22,
22,20200330004497,11011,2019,00117212,BS,재무상태표,dart_NonCurrentDerivativeAssets,파생상품평가자산,-,제 83 기,17033382925,제 82 기,21848672708,제 81 기,56861129282,23,
23,20200330004497,11011,2019,00117212,BS,재무상태표,dart_NonCurrentFirmCommitmentAsset,확정계약자산,-,제 83 기,18341954763,제 82 기,14740733510,제 81 기,2747639542,24,
24,20200330004497,11011,2019,00117212,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 83 기,416185443991,제 82 기,479880839786,제 81 기,548167214070,25,
25,20200330004497,11011,2019,00117212,BS,재무상태표,dart_LongTermDepositsProvidedGross,보증금,-,제 83 기,356689700820,제 82 기,337017966911,제 81 기,371865297031,26,
26,20200330004497,11011,2019,00117212,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 83 기,36262537329,제 82 기,45978262819,제 81 기,42605262943,27,
27,20200330004497,11011,2019,00117212,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 83 기,29169746816091,제 82 기,28880281619788,제 81 기,28769021897630,28,
