,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200330002197,11011,2019,00124197,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 61 기,1285177175342,제 60 기,1284826647848,제 59 기,1232118974754,1,
1,20200330002197,11011,2019,00124197,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 61 기,120236113671,제 60 기,111817829333,제 59 기,86752224735,2,
2,20200330002197,11011,2019,00124197,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 61 기,487784512152,제 60 기,470834165808,제 59 기,478670129626,3,
3,20200330002197,11011,2019,00124197,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,유동금융자산,-,제 61 기,51430399218,제 60 기,39770556271,제 59 기,58341560237,4,
4,20200330002197,11011,2019,00124197,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 61 기,615195179955,제 60 기,646684740672,제 59 기,592406825360,5,
5,20200330002197,11011,2019,00124197,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 61 기,6348277636,제 60 기,11846230106,제 59 기,13761305300,6,
6,20200330002197,11011,2019,00124197,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 61 기,4182692710,제 60 기,2703125658,제 59 기,2186929496,7,
7,20200330002197,11011,2019,00124197,BS,재무상태표,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정비유동자산,-,제 61 기,,제 60 기,1170000000,제 59 기,,8,
8,20200330002197,11011,2019,00124197,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 61 기,1163370856665,제 60 기,1160554646477,제 59 기,1179581262133,9,
9,20200330002197,11011,2019,00124197,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 61 기,983849831278,제 60 기,981872330783,제 59 기,899395871267,10,
10,20200330002197,11011,2019,00124197,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 61 기,45405352958,제 60 기,43035452335,제 59 기,31361497265,11,
11,20200330002197,11011,2019,00124197,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 61 기,12033419194,제 60 기,15484315109,제 59 기,43188365870,12,
