,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 11 기,1500905529076,제 10 기,1337081672812,제 9 기,1277431051340,1,
1,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 11 기,446899132667,제 10 기,356132867786,제 9 기,388965860957,2,
2,20200330003523,11011,2019,00776820,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 11 기,36107728987,제 10 기,37409491893,제 9 기,52535233561,3,
3,20200330003523,11011,2019,00776820,BS,재무상태표,dart_CurrentDerivativeAsset,파생상품자산,-,제 11 기,7603507200,제 10 기,7288491823,제 9 기,516707840,4,
4,20200330003523,11011,2019,00776820,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 11 기,354141754160,제 10 기,328947054091,제 9 기,298286091274,5,
5,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 11 기,540366111948,제 10 기,493852870129,제 9 기,434781638610,6,
6,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,기타수취채권,-,제 11 기,63979023312,제 10 기,65398215298,제 9 기,53769276857,7,
7,20200330003523,11011,2019,00776820,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 11 기,46213891580,제 10 기,43630804802,제 9 기,46304539162,8,
8,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 11 기,5594379222,제 10 기,4421876990,제 9 기,2271703079,9,
9,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 11 기,1603640319319,제 10 기,1301864403723,제 9 기,997460017691,10,
10,20200330003523,11011,2019,00776820,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 11 기,4188725702,제 10 기,3413671941,제 9 기,2252817388,11,
11,20200330003523,11011,2019,00776820,BS,재무상태표,dart_NonCurrentFairValueFinancialAsset,당기손익인식금융자산,-,제 11 기,0,제 10 기,0,제 9 기,1925926000,12,
12,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,당기손익-공정가치금융자산,-,제 11 기,2922433770,제 10 기,2842633442,제 9 기,0,13,
13,20200330003523,11011,2019,00776820,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 11 기,0,제 10 기,0,제 9 기,132296000401,14,
14,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_NoncurrentInvestmentsInEquityInstrumentsDesignatedAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치금융자산,-,제 11 기,530110482006,제 10 기,370361363416,제 9 기,0,15,
15,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates,관계기업 및 공동지배기업,-,제 11 기,299693380,제 10 기,424483600,제 9 기,5726171109,16,
16,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 11 기,607781228816,제 10 기,631706498806,제 9 기,552063112020,17,
17,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 11 기,81927104501,제 10 기,0,제 9 기,0,18,
18,20200330003523,11011,2019,00776820,BS,재무상태표,-표준계정코드 미사용-,무형자산,-,제 11 기,159514456432,제 10 기,153087202398,제 9 기,161966299037,19,
19,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 11 기,175229810569,제 10 기,103633534705,제 9 기,104626613368,20,
20,20200330003523,11011,2019,00776820,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,기타수취채권,-,제 11 기,17951944704,제 10 기,18643944659,제 9 기,20265371193,21,
21,20200330003523,11011,2019,00776820,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 11 기,3776378374,제 10 기,3444300174,제 9 기,3131829811,22,
22,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 11 기,19938061065,제 10 기,14306770582,제 9 기,13205877364,23,
23,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 11 기,3104545848395,제 10 기,2638946076535,제 9 기,2274891069031,24,
24,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 11 기,622883896748,제 10 기,469434350517,제 9 기,551720663510,26,
25,20200330003523,11011,2019,00776820,BS,재무상태표,dart_ShortTermTradePayables,매입채무,-,제 11 기,180326202413,제 10 기,197114056098,제 9 기,179639056874,27,
26,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금,-,제 11 기,136519343604,제 10 기,120411839857,제 9 기,233187382358,28,
27,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,-,제 11 기,115407337760,제 10 기,28429712400,제 9 기,27426505920,29,
28,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_CurrentLeaseLiabilities,유동리스부채,-,제 11 기,10202527599,제 10 기,0,제 9 기,0,30,
29,20200330003523,11011,2019,00776820,BS,재무상태표,dart_CurrentPortionOfBonds,유동성사채,-,제 11 기,49989302639,제 10 기,0,제 9 기,0,31,
30,20200330003523,11011,2019,00776820,BS,재무상태표,dart_CurrentDerivativeLiabilities,파생상품부채,-,제 11 기,394521600,제 10 기,546405009,제 9 기,9752561945,32,
31,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 11 기,36224337097,제 10 기,34394784913,제 9 기,21768961572,33,
32,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_CurrentProvisions,기타충당부채,-,제 11 기,15154389738,제 10 기,17820309255,제 9 기,14703514677,34,
33,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,기타지급채무,-,제 11 기,76163409910,제 10 기,66760146307,제 9 기,62461147777,35,
34,20200330003523,11011,2019,00776820,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 11 기,2502524388,제 10 기,3957096678,제 9 기,2781532387,36,
35,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 11 기,512667057941,제 10 기,506386538973,제 9 기,382427906288,37,
36,20200330003523,11011,2019,00776820,BS,재무상태표,dart_BondsIssued,사채,-,제 11 기,0,제 10 기,49948484027,제 9 기,49908735728,38,
37,20200330003523,11011,2019,00776820,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 11 기,79706380998,제 10 기,183711738700,제 9 기,122346916000,39,
38,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_NoncurrentLeaseLiabilities,비유동리스부채,-,제 11 기,70804485678,제 10 기,0,제 9 기,0,40,
39,20200330003523,11011,2019,00776820,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 11 기,56712914171,제 10 기,16605242164,제 9 기,15792590118,41,
40,20200330003523,11011,2019,00776820,BS,재무상태표,ifrs-full_DeferredTaxLiabilities,이연법인세부채,-,제 11 기,304899426138,제 10 기,254982276110,제 9 기,192255513164,42,
