,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 21 기,5643714459664,제 20 기,5385569586465,제 19 기,4784227776883,1,
1,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 21 기,3740513761418,제 20 기,3322884102567,제 19 기,1907575060667,2,
2,20200330004603,11011,2019,00266961,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 21 기,289910618872,제 20 기,444702261235,제 19 기,1333889498274,3,
3,20200330004603,11011,2019,00266961,BS,재무상태표,-표준계정코드 미사용-,당기손익인식금융자산,-,제 21 기,,제 20 기,,제 19 기,274532710666,4,
4,20200330004603,11011,2019,00266961,BS,재무상태표,-표준계정코드 미사용-,당기손익-공정가치금융자산,-,제 21 기,12920430454,제 20 기,230774469760,제 19 기,,5,
5,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 21 기,1211072909858,제 20 기,1101551045302,제 19 기,1026872808889,6,
6,20200330004603,11011,2019,00266961,BS,재무상태표,dart_CurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 21 기,,제 20 기,,제 19 기,79435727110,7,
7,20200330004603,11011,2019,00266961,BS,재무상태표,-표준계정코드 미사용-,기타포괄손익-공정가치금융자산,-,제 21 기,63916531256,제 20 기,62725505906,제 19 기,,8,
8,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 21 기,55114731809,제 20 기,57440292749,제 19 기,36204513812,9,
9,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 21 기,12717980739,제 20 기,8044073349,제 19 기,1099626162,10,
10,20200330004603,11011,2019,00266961,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 21 기,257547495258,제 20 기,157447835597,제 19 기,124617831303,11,
11,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 21 기,6655812661122,제 20 기,4495621322859,제 19 기,3235023783031,12,
12,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 21 기,1596271317726,제 20 기,1457302209262,제 19 기,1150012698630,13,
13,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 21 기,697351304664,제 20 기,,제 19 기,,14,
14,20200330004603,11011,2019,00266961,BS,재무상태표,dart_GoodwillGross,무형자산,-,제 21 기,341442833327,제 20 기,306963470197,제 19 기,339511680983,15,
15,20200330004603,11011,2019,00266961,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 21 기,24034591006,제 20 기,25990573425,제 19 기,120301393998,16,
16,20200330004603,11011,2019,00266961,BS,재무상태표,dart_NonCurrentFairValueFinancialAsset,당기손익인식금융자산,-,제 21 기,,제 20 기,,제 19 기,39151181682,17,
17,20200330004603,11011,2019,00266961,BS,재무상태표,-표준계정코드 미사용-,당기손익-공정가치금융자산,-,제 21 기,1229097428653,제 20 기,553399539414,제 19 기,,18,
18,20200330004603,11011,2019,00266961,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,-,제 21 기,124821356161,제 20 기,113160988276,제 19 기,74199645388,19,
19,20200330004603,11011,2019,00266961,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 21 기,,제 20 기,,제 19 기,943632439930,20,
20,20200330004603,11011,2019,00266961,BS,재무상태표,-표준계정코드 미사용-,기타포괄손익-공정가치금융자산,-,제 21 기,675602433315,제 20 기,666651322237,제 19 기,,21,
21,20200330004603,11011,2019,00266961,BS,재무상태표,dart_NonCurrentFinancialAssetsHeldToMaturity,만기보유금융자산,-,제 21 기,,제 20 기,,제 19 기,2660696298,22,
22,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_InvestmentAccountedForUsingEquityMethod,관계기업및공동기업 투자,-,제 21 기,1558268184714,제 20 기,1001362122331,제 19 기,280997122915,23,
23,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 21 기,381279417985,제 20 기,340178774174,제 19 기,248493530447,24,
24,20200330004603,11011,2019,00266961,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 21 기,27643793571,제 20 기,30612323543,제 19 기,36063392760,25,
25,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 21 기,12299527120786,제 20 기,9881190909324,제 19 기,8019251559914,26,
26,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 21 기,3773118830740,제 20 기,2619671652587,제 19 기,2302730294235,28,
27,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,-,제 21 기,1211070361564,제 20 기,896276258656,제 19 기,770724455666,29,
28,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치금융부채,-,제 21 기,649038368,제 20 기,7418409882,제 19 기,30360536,30,
29,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_ShorttermBorrowings,단기차입금,-,제 21 기,559584776483,제 20 기,349846018275,제 19 기,211011222442,31,
30,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,-,제 21 기,,제 20 기,26991114,제 19 기,,32,
31,20200330004603,11011,2019,00266961,BS,재무상태표,dart_CurrentPortionOfBonds,유동성사채,-,제 21 기,,제 20 기,,제 19 기,150000000000,33,
32,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,당기법인세부채,-,제 21 기,313781745056,제 20 기,277992093674,제 19 기,305730913120,34,
33,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_CurrentProvisions,충당부채,-,제 21 기,3822401193,제 20 기,2462733532,제 19 기,5897847971,35,
34,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_CurrentLeaseLiabilities,유동리스부채,-,제 21 기,168937301210,제 20 기,,제 19 기,,36,
35,20200330004603,11011,2019,00266961,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 21 기,1515273206866,제 20 기,1085649147454,제 19 기,859335494500,37,
36,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 21 기,2022482221466,제 20 기,1312378743444,제 19 기,411335030730,38,
37,20200330004603,11011,2019,00266961,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,매입채무및기타채무,-,제 21 기,42469680072,제 20 기,23370588587,제 19 기,11652173744,39,
38,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_NoncurrentFinancialLiabilitiesAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치금융부채,-,제 21 기,8339734792,제 20 기,2785234016,제 19 기,4608180098,40,
39,20200330004603,11011,2019,00266961,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 21 기,50039880125,제 20 기,100061591213,제 19 기,49933677257,41,
40,20200330004603,11011,2019,00266961,BS,재무상태표,dart_BondsIssued,사채,-,제 21 기,752270184693,제 20 기,711561946218,제 19 기,,42,
41,20200330004603,11011,2019,00266961,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 21 기,473437955422,제 20 기,344780260840,제 19 기,284033206529,43,
42,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_NoncurrentProvisions,충당부채,-,제 21 기,59046834258,제 20 기,42423909342,제 19 기,34765546071,44,
43,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_NoncurrentLeaseLiabilities,비유동리스부채,-,제 21 기,555287968236,제 20 기,,제 19 기,,45,
44,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_DeferredTaxLiabilities,이연법인세부채,-,제 21 기,80453751124,제 20 기,86244846912,제 19 기,25177671162,46,
45,20200330004603,11011,2019,00266961,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 21 기,1136232744,제 20 기,1150366316,제 19 기,1164575869,47,
46,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 21 기,5795601052206,제 20 기,3932050396031,제 19 기,2714065324965,48,
47,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 21 기,5805227623271,제 20 기,5240280006228,제 19 기,4762346095984,50,
48,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 21 기,16481339500,제 20 기,16481339500,제 19 기,16481339500,51,
49,20200330004603,11011,2019,00266961,BS,재무상태표,dart_CapitalSurplus,자본잉여금,-,제 21 기,1575307844438,제 20 기,1540985517982,제 19 기,1507878510842,52,
50,20200330004603,11011,2019,00266961,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 21 기,-1498653013809,제 20 기,-1546389664299,제 19 기,-1317531622681,53,
51,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금(결손금),-,제 21 기,5712091453142,제 20 기,5229202813045,제 19 기,4555517868323,54,
52,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_NoncontrollingInterests,비지배지분,-,제 21 기,698698445309,제 20 기,708860507065,제 19 기,542840138965,55,
53,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 21 기,6503926068580,제 20 기,5949140513293,제 19 기,5305186234949,56,
54,20200330004603,11011,2019,00266961,BS,재무상태표,ifrs-full_EquityAndLiabilities,자본과부채총계,-,제 21 기,12299527120786,제 20 기,9881190909324,제 19 기,8019251559914,57,
55,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,ifrs-full_Revenue,영업수익,-,제 21 기,6593400065244,제 20 기,5586904533355,제 19 기,4678468928032,0,
56,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,-표준계정코드 미사용-,영업비용,-,제 21 기,-5883329891731,제 20 기,-4644371971812,제 19 기,-3499281121701,1,
57,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 21 기,710070173513,제 20 기,942532561543,제 19 기,1179187806331,2,
58,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,dart_OtherGains,기타수익,-,제 21 기,127850039103,제 20 기,316773923951,제 19 기,35057161984,3,
59,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,dart_OtherLosses,기타비용,-,제 21 기,152375851429,제 20 기,114624964081,제 19 기,86985385595,4,
60,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,-표준계정코드 미사용-,이자수익,-,제 21 기,16395673587,제 20 기,27243776093,제 19 기,36678030573,5,
61,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,ifrs-full_FinanceIncome,금융수익,-,제 21 기,395352360724,제 20 기,164181993767,제 19 기,78332304707,6,
62,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,ifrs-full_FinanceCosts,금융비용,-,제 21 기,166169887339,제 20 기,139365243783,제 19 기,32414107346,7,
63,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,-표준계정코드 미사용-,지분법손익,-,제 21 기,-64400374196,제 20 기,-85069772652,제 19 기,-14026821694,8,
64,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),-,제 21 기,866722133963,제 20 기,1111672274838,제 19 기,1195828988960,9,
65,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,-,제 21 기,466311853314,제 20 기,488756397806,제 19 기,423173257798,10,
66,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,ifrs-full_ProfitLossFromContinuingOperations,계속영업순이익(손실),-,제 21 기,400410280649,제 20 기,622915877032,제 19 기,772655731162,11,
67,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업이익(손실),-,제 21 기,-3589218184,제 20 기,4985996300,제 19 기,-2554060955,12,
68,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,ifrs-full_ProfitLoss,당기순이익(손실),-,제 21 기,396821062465,제 20 기,627901873332,제 19 기,770101670207,13,
69,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,-표준계정코드 미사용-,계속영업이익,-,제 21 기,586641122833,제 20 기,643826906430,제 19 기,775433640876,16,
70,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,-표준계정코드 미사용-,중단영업이익(손실),-,제 21 기,-3589218184,제 20 기,4985996300,제 19 기,-2554060955,17,
71,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),-,제 21 기,-186230842184,제 20 기,-20911029398,제 19 기,-2777909714,18,
72,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,ifrs-full_OtherComprehensiveIncome,기타포괄손익,-,제 21 기,138730945419,제 20 기,5875475010,제 19 기,-142862945354,19,
73,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류될 수 있는 항목,-,제 21 기,145977055953,제 20 기,100178241737,제 19 기,-151278607530,20,
74,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,ifrs-full_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsNetOfTax,매도가능금융자산-평가손익,-,제 21 기,,제 20 기,,제 19 기,-1660488494,21,
75,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,ifrs-full_ReclassificationAdjustmentsOnAvailableforsaleFinancialAssetsNetOfTax,매도가능금융자산-재분류조정,-,제 21 기,,제 20 기,,제 19 기,21149295045,22,
76,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,ifrs-full_GainsLossesOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncomeNetOfTax,기타포괄손익-공정가치 측정 채무상품 평가손익,-,제 21 기,248538199,제 20 기,2441198331,제 19 기,,23,
77,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업환산손익,-,제 21 기,139029178403,제 20 기,77213086172,제 19 기,-120113501595,24,
78,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,-표준계정코드 미사용-,지분법자본변동,-,제 21 기,6699339351,제 20 기,20523957234,제 19 기,-8355322396,25,
79,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는항목,-,제 21 기,-7246110534,제 20 기,-94302766727,제 19 기,8415662176,26,
80,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,-표준계정코드 미사용-,순확정급여부채의 재측정요소,-,제 21 기,-52992040208,제 20 기,-7085480963,제 19 기,8580245095,27,
81,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,-표준계정코드 미사용-,기타포괄손익-공정가치 지분상품 평가손익,-,제 21 기,50343180326,제 20 기,-105238566292,제 19 기,,28,
82,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,-표준계정코드 미사용-,기타포괄손익-공정가치 지분상품 처분손익,-,제 21 기,-4611398596,제 20 기,18158594324,제 19 기,,29,
83,20200330004603,11011,2019,00266961,CIS,포괄손익계산서,-표준계정코드 미사용-,지분법자본변동,-,제 21 기,14147944,제 20 기,-137313796,제 19 기,-164582919,30,
