,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 51 기,7328856814743,제 50 기,7828165281170,제 49 기,9582340456712,1,
1,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금 및 현금성자산,-,제 51 기,1792956491853,제 50 기,1592619145823,제 49 기,2442298345368,2,
2,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,-,제 51 기,3505180381682,제 50 기,4297384976431,제 49 기,4763280007248,3,
3,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 51 기,875113715855,제 50 기,1034194955187,제 49 기,1090697679575,4,
4,20200327001130,11011,2019,00120030,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융자산,-,제 51 기,284371604300,제 50 기,295204587487,제 49 기,295942692534,5,
5,20200327001130,11011,2019,00120030,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 51 기,871234621053,제 50 기,608761616242,제 49 기,990121731987,6,
6,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 51 기,5842348919594,제 50 기,4205110031557,제 49 기,4114274166988,7,
7,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 51 기,1176031564913,제 50 기,841048334557,제 49 기,897519288687,8,
8,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 51 기,489994194373,제 50 기,215664364185,제 49 기,209481743510,9,
9,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 51 기,918272419592,제 50 기,915827926120,제 49 기,879888687534,10,
10,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 51 기,519043943401,제 50 기,,제 49 기,,11,
11,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_InvestmentAccountedForUsingEquityMethod,관계회사지분증권,-,제 51 기,52394582543,제 50 기,73490809398,제 49 기,44388994778,12,
12,20200327001130,11011,2019,00120030,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타채권,-,제 51 기,1157030053880,제 50 기,946329901168,제 49 기,963196178614,13,
13,20200327001130,11011,2019,00120030,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융자산,-,제 51 기,438708444511,제 50 기,194150512661,제 49 기,449892432874,14,
14,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 51 기,846852362630,제 50 기,788390434498,제 49 기,669906840991,15,
15,20200327001130,11011,2019,00120030,BS,재무상태표,-표준계정코드 미사용-,당기손익-공정가치측정 금융자산,-,제 51 기,244021353751,제 50 기,230207748970,제 49 기,,16,
16,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 51 기,13171205734337,제 50 기,12033275312727,제 49 기,13696614623700,17,
17,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 51 기,5800889904080,제 50 기,6359727442301,제 49 기,8581252537034,19,
18,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타채무,-,제 51 기,1629979597832,제 50 기,2023489635882,제 49 기,2473848534723,20,
19,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_OtherCurrentFinancialLiabilities,단기금융부채,-,제 51 기,991731786875,제 50 기,1118162071740,제 49 기,3061155238241,21,
20,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,법인세부채,-,제 51 기,133843667499,제 50 기,181499789965,제 49 기,72198114046,22,
21,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_CurrentProvisions,유동충당부채,-,제 51 기,135706862655,제 50 기,118471606064,제 49 기,,23,
22,20200327001130,11011,2019,00120030,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 51 기,2909627989219,제 50 기,2918104338650,제 49 기,2974050650024,24,
23,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 51 기,3227288446151,제 50 기,2048861976355,제 49 기,1875646889771,25,
24,20200327001130,11011,2019,00120030,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무및기타채무,-,제 51 기,,제 50 기,,제 49 기,8587730297,26,
25,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialLiabilities,장기금융부채,-,제 51 기,2344607144607,제 50 기,1147180350254,제 49 기,1018027530040,27,
26,20200327001130,11011,2019,00120030,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 51 기,49809922373,제 50 기,72787437994,제 49 기,55406565763,28,
27,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_NoncurrentProvisions,비유동충당부채,-,제 51 기,411092678456,제 50 기,533923832602,제 49 기,441020168525,29,
28,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_DeferredTaxLiabilities,이연법인세부채,-,제 51 기,130339698386,제 50 기,5858201855,제 49 기,27544489545,30,
29,20200327001130,11011,2019,00120030,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 51 기,291439002329,제 50 기,289112153650,제 49 기,325060405601,31,
30,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 51 기,9028178350231,제 50 기,8408589418656,제 49 기,10456899426805,32,
31,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 51 기,3974680965863,제 50 기,3548512725064,제 49 기,3167305883841,34,
32,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 51 기,400489020000,제 50 기,397178985000,제 49 기,358376185000,35,
33,20200327001130,11011,2019,00120030,BS,재무상태표,dart_CapitalSurplus,자본잉여금,-,제 51 기,802293937604,제 50 기,811768122819,제 49 기,627155740008,36,
34,20200327001130,11011,2019,00120030,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본,-,제 51 기,-9428189853,제 50 기,-77044623628,제 49 기,-87207586208,37,
35,20200327001130,11011,2019,00120030,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 51 기,-46036330752,제 50 기,-70462829076,제 49 기,-65364922725,38,
36,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금,-,제 51 기,2827362528864,제 50 기,2487073069949,제 49 기,2334346467766,39,
37,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_NoncontrollingInterests,비지배지분,-,제 51 기,168346418243,제 50 기,76173169007,제 49 기,72409313054,40,
38,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 51 기,4143027384106,제 50 기,3624685894071,제 49 기,3239715196895,41,
39,20200327001130,11011,2019,00120030,BS,재무상태표,ifrs-full_EquityAndLiabilities,자본과부채총계,-,제 51 기,13171205734337,제 50 기,12033275312727,제 49 기,13696614623700,42,
40,20200327001130,11011,2019,00120030,IS,손익계산서,ifrs-full_Revenue,매출액,-,제 51 기,10416589201821,제 50 기,13139372923261,제 49 기,11679456006382,0,
41,20200327001130,11011,2019,00120030,IS,손익계산서,dart_RevenueFromConstruction,공사매출,-,제 51 기,9672557123476,제 50 기,12274523201871,제 49 기,10552235387037,1,
42,20200327001130,11011,2019,00120030,IS,손익계산서,dart_RevenueFromSaleOfGoodsRealEstate,분양매출,-,제 51 기,398192269420,제 50 기,570832744114,제 49 기,844939633237,2,
43,20200327001130,11011,2019,00120030,IS,손익계산서,ifrs-full_OtherRevenue,기타매출,-,제 51 기,345839808925,제 50 기,294016977276,제 49 기,282280986108,3,
44,20200327001130,11011,2019,00120030,IS,손익계산서,ifrs-full_CostOfSales,매출원가,-,제 51 기,9018721377045,제 50 기,11511807548164,제 49 기,10876113911216,4,
45,20200327001130,11011,2019,00120030,IS,손익계산서,dart_CostOfSalesFromConstruction,공사매출원가,-,제 51 기,8397454432299,제 50 기,10775212792991,제 49 기,10003144431280,5,
46,20200327001130,11011,2019,00120030,IS,손익계산서,dart_CostOfSalesFromSaleOfGoodsRealEstate,분양매출원가,-,제 51 기,302090148838,제 50 기,444309324490,제 49 기,590149641784,6,
47,20200327001130,11011,2019,00120030,IS,손익계산서,dart_OtherCostOfSales,기타매출원가,-,제 51 기,319176795908,제 50 기,292285430683,제 49 기,282819838152,7,
48,20200327001130,11011,2019,00120030,IS,손익계산서,ifrs-full_GrossProfit,매출총이익,-,제 51 기,1397867824776,제 50 기,1627565375097,제 49 기,803342095166,8,
