,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 43 기,3276606894307,제 42 기,3268009339560,제 41 기,3247144993713,1,
1,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 43 기,2296049524194,제 42 기,2365586882215,제 41 기,2440253946354,2,
2,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 43 기,56423944247,제 42 기,0,제 41 기,0,3,
3,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 43 기,10819200237,제 42 기,10822654136,제 41 기,5598261617,4,
4,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 43 기,13602825738,제 42 기,14251104650,제 41 기,14930892770,5,
5,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_InvestmentAccountedForUsingEquityMethod,공동기업 및 관계기업 투자주식,-,제 43 기,596290166618,제 42 기,588428297402,제 41 기,487905704966,6,
6,20200330004439,11011,2019,00106368,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,비유동매도가능금융자산,-,제 43 기,0,제 42 기,0,제 41 기,255709944504,7,
7,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,비유동 기타포괄손익-공정가치 측정 금융자산,-,제 43 기,262478452326,제 42 기,241704711207,제 41 기,0,8,
8,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,비유동 당기손익-공정가치 측정 지정 금융자산,-,제 43 기,9810146786,제 42 기,8768374154,제 41 기,0,9,
9,20200330004439,11011,2019,00106368,BS,재무상태표,dart_LongTermLoansGross,장기대여금 및 기타채권,-,제 43 기,25444036363,제 42 기,24897533349,제 41 기,26007017310,10,
10,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 43 기,4639982203,제 42 기,9143121118,제 41 기,12028659335,11,
11,20200330004439,11011,2019,00106368,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 43 기,1048615595,제 42 기,4406661329,제 41 기,4710566857,12,
12,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 43 기,1261435503491,제 42 기,1348711408320,제 41 기,1332668624213,13,
13,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 43 기,469472369067,제 42 기,471642723824,제 41 기,426750280738,14,
14,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,유동 당기손익-공정가치 의무 측정 금융자산,-,제 43 기,134240000,제 42 기,169920000,제 41 기,141600000,15,
15,20200330004439,11011,2019,00106368,BS,재무상태표,dart_CurrentDerivativeAsset,유동파생상품자산,-,제 43 기,1998508372,제 42 기,382531212,제 41 기,0,16,
16,20200330004439,11011,2019,00106368,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 43 기,540068970909,제 42 기,636967373122,제 41 기,588511946613,17,
17,20200330004439,11011,2019,00106368,BS,재무상태표,dart_ShortTermLoans,단기대여금 및 기타채권,-,제 43 기,111349319329,제 42 기,128519313486,제 41 기,48437359534,18,
18,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 43 기,127807557195,제 42 기,101804574281,제 41 기,234430215837,19,
19,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정비유동자산,-,제 43 기,0,제 42 기,0,제 41 기,25621546880,20,
20,20200330004439,11011,2019,00106368,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 43 기,7526503677,제 42 기,9224972395,제 41 기,8775674611,21,
21,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 43 기,3078034942,제 42 기,0,제 41 기,0,22,
22,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 43 기,4538042397798,제 42 기,4616720747880,제 41 기,4579813617926,23,
23,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,-,제 43 기,2628648151117,제 42 기,2347318724264,제 41 기,1842656382205,25,
24,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 43 기,167455885000,제 42 기,167455885000,제 41 기,167455885000,26,
25,20200330004439,11011,2019,00106368,BS,재무상태표,dart_CapitalSurplus,자본잉여금,-,제 43 기,356465907661,제 42 기,356556642103,제 41 기,266516521187,27,
26,20200330004439,11011,2019,00106368,BS,재무상태표,dart_OtherCapitalAdjustments,자본조정,-,제 43 기,-40381058150,제 42 기,-40372228879,제 41 기,-40372228879,28,
27,20200330004439,11011,2019,00106368,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 43 기,-41593142942,제 42 기,-60886081437,제 41 기,46074934582,29,
28,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금(결손금),-,제 43 기,2186700559548,제 42 기,1924564507477,제 41 기,1402981270315,30,
29,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_NoncontrollingInterests,비지배지분,-,제 43 기,923357279,제 42 기,828373843,제 41 기,114146659111,31,
30,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 43 기,2629571508396,제 42 기,2348147098107,제 41 기,1956803041316,32,
31,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 43 기,632831315379,제 42 기,509654463610,제 41 기,709105502242,34,
32,20200330004439,11011,2019,00106368,BS,재무상태표,dart_LongTermOtherPayablesGross,장기미지급금 및 기타채무,-,제 43 기,115044000,제 42 기,4552386585,제 41 기,4963229331,35,
33,20200330004439,11011,2019,00106368,BS,재무상태표,dart_LongTermAccruedExpensesGross,장기미지급비용,-,제 43 기,6328101656,제 42 기,5430066982,제 41 기,4544565639,36,
34,20200330004439,11011,2019,00106368,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 43 기,461362616374,제 42 기,371733076238,제 41 기,583112209583,37,
35,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_NoncurrentLeaseLiabilities,비유동리스부채,-,제 43 기,45574142145,제 42 기,0,제 41 기,0,38,
36,20200330004439,11011,2019,00106368,BS,재무상태표,dart_PostemploymentBenefitObligations,퇴직급여부채,-,제 43 기,31627443179,제 42 기,39216826260,제 41 기,35209446349,39,
37,20200330004439,11011,2019,00106368,BS,재무상태표,ifrs-full_DeferredTaxLiabilities,이연법인세부채,-,제 43 기,85930834224,제 42 기,88054406596,제 41 기,77465056969,40,
