,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200330001532,11011,2019,00164788,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 43 기,21504648000000,제 42 기,19720482000000,제 41 기,18217814000000,1,
1,20200330001532,11011,2019,00164788,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 43 기,3341977000000,제 42 기,2335060000000,제 41 기,2407890000000,2,
2,20200330001532,11011,2019,00164788,BS,재무상태표,-표준계정코드 미사용-,당기손익인식금융자산,-,제 43 기,,제 42 기,,제 41 기,3690675000000,3,
3,20200330001532,11011,2019,00164788,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 43 기,,제 42 기,,제 41 기,2945283000000,4,
4,20200330001532,11011,2019,00164788,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타금융자산,-,제 43 기,7769131000000,제 42 기,7772921000000,제 41 기,,5,
5,20200330001532,11011,2019,00164788,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 43 기,7125380000000,제 42 기,6662423000000,제 41 기,6234130000000,6,
6,20200330001532,11011,2019,00164788,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 43 기,3034170000000,제 42 기,2762915000000,제 41 기,2690294000000,7,
7,20200330001532,11011,2019,00164788,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 43 기,233990000000,제 42 기,187163000000,제 41 기,249542000000,8,
8,20200330001532,11011,2019,00164788,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 43 기,25101416000000,제 42 기,23350650000000,제 41 기,23519005000000,9,
9,20200330001532,11011,2019,00164788,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 43 기,8605375000000,제 42 기,8029517000000,제 41 기,8206353000000,10,
10,20200330001532,11011,2019,00164788,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 43 기,913970000000,제 42 기,931426000000,제 41 기,957009000000,11,
11,20200330001532,11011,2019,00164788,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 43 기,63533000000,제 42 기,107767000000,제 41 기,111647000000,12,
12,20200330001532,11011,2019,00164788,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 43 기,365659000000,제 42 기,,제 41 기,,13,
