,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200330004543,11011,2019,00356370,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 19 기,2163074840988,제 18 기,1691202854302,제 17 기,1513604950809,1,
1,20200330004543,11011,2019,00356370,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 19 기,647104059171,제 18 기,396643798594,제 17 기,386194252722,2,
2,20200330004543,11011,2019,00356370,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 19 기,72263450599,제 18 기,16900000000,제 17 기,16900000000,3,
3,20200330004543,11011,2019,00356370,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,기타채권,-,제 19 기,645650629829,제 18 기,581868123660,제 17 기,539518997892,4,
4,20200330004543,11011,2019,00356370,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 19 기,611044864691,제 18 기,556088266669,제 17 기,522800476778,5,
5,20200330004543,11011,2019,00356370,BS,재무상태표,-표준계정코드 미사용-,기타채권,-,제 19 기,34605765138,제 18 기,25779856991,제 17 기,16718521114,6,
6,20200330004543,11011,2019,00356370,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 19 기,746323199447,제 18 기,614747846838,제 17 기,546905773461,7,
7,20200330004543,11011,2019,00356370,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,제 19 기,1089659831,제 18 기,23590117,제 17 기,296213319,8,
8,20200330004543,11011,2019,00356370,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 19 기,50643842111,제 18 기,81019495093,제 17 기,23789713415,9,
9,20200330004543,11011,2019,00356370,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 19 기,4330594821983,제 18 기,3584671429863,제 17 기,3264915009903,10,
10,20200330004543,11011,2019,00356370,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 19 기,24000000,제 18 기,24000000,제 17 기,25500000,11,
11,20200330004543,11011,2019,00356370,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기기타채권,-,제 19 기,80180225757,제 18 기,78324507595,제 17 기,87532565766,12,
12,20200330004543,11011,2019,00356370,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,비유동매도가능금융자산,-,제 19 기,,제 18 기,,제 17 기,46608535394,13,
13,20200330004543,11011,2019,00356370,BS,재무상태표,ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates,관계기업및공동기업투자,-,제 19 기,56559112536,제 18 기,52392994727,제 17 기,55515333646,14,
14,20200330004543,11011,2019,00356370,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 19 기,37441744173,제 18 기,21123266919,제 17 기,17304914670,15,
15,20200330004543,11011,2019,00356370,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 19 기,2036044655189,제 18 기,1813288570135,제 17 기,1616594289066,16,
16,20200330004543,11011,2019,00356370,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 19 기,273157209374,제 18 기,,제 17 기,0,17,
17,20200330004543,11011,2019,00356370,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 19 기,42239252222,제 18 기,45184246888,제 17 기,27067083719,18,
18,20200330004543,11011,2019,00356370,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 19 기,1787313564367,제 18 기,1544973448428,제 17 기,1392798590496,19,
19,20200330004543,11011,2019,00356370,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 19 기,9467262843,제 18 기,10397354014,제 17 기,9114106287,20,
20,20200330004543,11011,2019,00356370,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 19 기,8167795522,제 18 기,18963041157,제 17 기,12354090859,21,
21,20200330004543,11011,2019,00356370,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 19 기,6493669662971,제 18 기,5275874284165,제 17 기,4778519960712,22,
