,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 11 기,739672426029,제 10 기,825853582407,제 9 기,818370388654,1,
1,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 11 기,81742369203,제 10 기,36054869657,제 9 기,62512016852,2,
2,20200330004438,11011,2019,00728638,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융자산,-,제 11 기,6541317660,제 10 기,5101944738,제 9 기,1540272826,3,
3,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,-,제 11 기,185425787067,제 10 기,209181955363,제 9 기,194170253491,4,
4,20200330004438,11011,2019,00728638,BS,재무상태표,dart_CurrentAvailableForSaleFinancialAssets,유동성매도가능금융자산,-,제 11 기,,제 10 기,,제 9 기,295894501811,5,
5,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치금융자산,-,제 11 기,147316755038,제 10 기,185268324157,제 9 기,,6,
6,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_CurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치금융자산,-,제 11 기,,제 10 기,70307964359,제 9 기,,7,
7,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 11 기,294730946850,제 10 기,295097420527,제 9 기,241332886073,8,
8,20200330004438,11011,2019,00728638,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 11 기,23898246123,제 10 기,24627669114,제 9 기,21561019292,9,
9,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 11 기,17004088,제 10 기,213434492,제 9 기,1359438309,10,
10,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 11 기,439783270904,제 10 기,344875762398,제 9 기,377688092197,11,
11,20200330004438,11011,2019,00728638,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기성기타채권,-,제 11 기,12653861968,제 10 기,11278105950,제 9 기,10658937025,12,
12,20200330004438,11011,2019,00728638,BS,재무상태표,dart_NonCurrentAvailableForSaleFinancialAssets,매도가능금융자산,-,제 11 기,,제 10 기,,제 9 기,73889248359,13,
13,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치금융자산,-,제 11 기,14647554746,제 10 기,3500000000,제 9 기,,14,
14,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치금융자산,-,제 11 기,133660408005,제 10 기,62722680140,제 9 기,,15,
15,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 11 기,185504226412,제 10 기,182357452107,제 9 기,172921426663,16,
16,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 11 기,52264435849,제 10 기,,제 9 기,,17,
17,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 11 기,15383535236,제 10 기,15676355449,제 9 기,13468871006,18,
18,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 11 기,7930053357,제 10 기,28043437992,제 9 기,70907006266,19,
19,20200330004438,11011,2019,00728638,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 11 기,8688282380,제 10 기,31210250968,제 9 기,28971036414,20,
20,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 11 기,9050912951,제 10 기,10087479792,제 9 기,6871566464,21,
21,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 11 기,1179455696933,제 10 기,1170729344805,제 9 기,1196058480851,22,
22,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 11 기,640965243244,제 10 기,588782591502,제 9 기,495387829586,24,
23,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타채무,-,제 11 기,98807564434,제 10 기,89175281639,제 9 기,86830057369,25,
24,20200330004438,11011,2019,00728638,BS,재무상태표,ifrs-full_ShorttermBorrowings,차입금,-,제 11 기,476491256217,제 10 기,463014795363,제 9 기,370542152545,26,
