,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 15 기,409499587072,제 14 기,377687696398,제 13 기,357138348300,1,
1,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 15 기,113979654486,제 14 기,111337062710,제 13 기,108059361733,2,
2,20200330001667,11011,2019,00561866,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,금융기관예치금,-,제 15 기,45268645716,제 14 기,58804476239,제 13 기,41716983844,3,
3,20200330001667,11011,2019,00561866,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 15 기,72689434029,제 14 기,61305111573,제 13 기,60504794269,4,
4,20200330001667,11011,2019,00561866,BS,재무상태표,dart_CurrentFinanceLeaseReceivables,기타채권,-,제 15 기,9152974601,제 14 기,8659943057,제 13 기,4855487943,5,
5,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 15 기,155601700078,제 14 기,131201915749,제 13 기,128611918745,6,
6,20200330001667,11011,2019,00561866,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 15 기,11312713786,제 14 기,5635566704,제 13 기,12518945847,7,
7,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 15 기,47913083,제 14 기,743620366,제 13 기,870855919,8,
8,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정비유동자산,-,제 15 기,1446551293,제 14 기,0,제 13 기,0,9,
9,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 15 기,390434045061,제 14 기,361663558817,제 13 기,367526909782,10,
10,20200330001667,11011,2019,00561866,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 15 기,150000000,제 14 기,144600000,제 13 기,201600000,11,
11,20200330001667,11011,2019,00561866,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기기타채권,-,제 15 기,8357140602,제 14 기,7289669089,제 13 기,6138790924,12,
12,20200330001667,11011,2019,00561866,BS,재무상태표,dart_NoncurrentNoncashAssetsPledgedAsCollateralForWhichTransfereeHasRightByContractOrCustomToSellOrRepledgeCollateral,장기기타금융자산,-,제 15 기,4423680150,제 14 기,4487084725,제 13 기,9902420450,13,
13,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_PropertyPlantAndEquipment,유형자산,-,제 15 기,268518342745,제 14 기,280639919192,제 13 기,269859149466,14,
14,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 15 기,19452884111,제 14 기,11355836910,제 13 기,8736828129,15,
15,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 15 기,11171371562,제 14 기,11420962780,제 13 기,29536766619,16,
16,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_RightofuseAssets,사용권자산,-,제 15 기,68750310796,제 14 기,0,제 13 기,0,17,
17,20200330001667,11011,2019,00561866,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 15 기,2137792256,제 14 기,38987431549,제 13 기,38308819216,18,
18,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 15 기,7472522839,제 14 기,7338054572,제 13 기,4842534978,19,
19,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 15 기,799933632133,제 14 기,739351255215,제 13 기,724665258082,20,
20,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_CurrentLiabilities,유동부채,-,제 15 기,67419205538,제 14 기,61573714524,제 13 기,65405295474,22,
21,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_TradeAndOtherCurrentPayables,매입채무,-,제 15 기,25422750759,제 14 기,16936470858,제 13 기,19842392640,23,
22,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_CurrentContractLiabilities,유동계약부채,-,제 15 기,14579216036,제 14 기,11026659568,제 13 기,10897398298,24,
23,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_OtherCurrentFinancialLiabilities,기타금융부채,-,제 15 기,2100044192,제 14 기,22535328817,제 13 기,21238980424,25,
24,20200330001667,11011,2019,00561866,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 15 기,9455506315,제 14 기,6909009258,제 13 기,7093318547,26,
25,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_CurrentLeaseLiabilities,유동리스부채,-,제 15 기,10000432082,제 14 기,0,제 13 기,0,27,
26,20200330001667,11011,2019,00561866,BS,재무상태표,dart_PaymentsOfIncomeTaxesPayable,미지급법인세,-,제 15 기,4486203383,제 14 기,2337077798,제 13 기,5278218368,28,
27,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_CurrentTaxLiabilities,이연수익,-,제 15 기,440831042,제 14 기,549598085,제 13 기,565213220,29,
28,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_CurrentProvisions,충당부채,-,제 15 기,934221729,제 14 기,1279570140,제 13 기,489773977,30,
29,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_NoncurrentLiabilities,비유동부채,-,제 15 기,48505525513,제 14 기,17233133485,제 13 기,20361274345,31,
30,20200330001667,11011,2019,00561866,BS,재무상태표,dart_PostemploymentBenefitObligations,확정급여부채,-,제 15 기,11980051274,제 14 기,7192236545,제 13 기,3174525208,32,
31,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_OtherNoncurrentFinancialLiabilities,장기기타금융부채,-,제 15 기,2515116000,제 14 기,6528418000,제 13 기,14244745415,33,
32,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_NoncurrentLeaseLiabilities,리스부채,-,제 15 기,30276117322,제 14 기,0,제 13 기,0,34,
33,20200330001667,11011,2019,00561866,BS,재무상태표,dart_OtherNonCurrentLiabilities,이연수익,-,제 15 기,1188964100,제 14 기,1188964100,제 13 기,1188964100,35,
34,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_NoncurrentProvisions,충당부채,-,제 15 기,469947460,제 14 기,295068711,제 13 기,0,36,
35,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_DeferredTaxLiabilities,이연법인세부채,-,제 15 기,2075329357,제 14 기,2028446129,제 13 기,1753039622,37,
36,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_Liabilities,부채총계,-,제 15 기,115924731051,제 14 기,78806848009,제 13 기,85766569819,38,
37,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_EquityAttributableToOwnersOfParent,지배기업소유주지분,-,제 15 기,683860564141,제 14 기,660418085068,제 13 기,638512058445,40,
38,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_IssuedCapital,자본금,-,제 15 기,27500000000,제 14 기,27500000000,제 13 기,27500000000,41,
39,20200330001667,11011,2019,00561866,BS,재무상태표,dart_CapitalSurplus,자본잉여금,-,제 15 기,314835873126,제 14 기,314835873781,제 13 기,314809017686,42,
40,20200330001667,11011,2019,00561866,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,자본조정,-,제 15 기,-313611508,제 14 기,-313611508,제 13 기,-23372093146,43,
41,20200330001667,11011,2019,00561866,BS,재무상태표,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,-,제 15 기,-44514855579,제 14 기,-57740597612,제 13 기,-52558593751,44,
42,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_RetainedEarnings,이익잉여금(결손금),-,제 15 기,386353158102,제 14 기,376136420407,제 13 기,372133727656,45,
43,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_NoncontrollingInterests,비지배지분,-,제 15 기,148336941,제 14 기,126322138,제 13 기,386629818,46,
44,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_Equity,자본총계,-,제 15 기,684008901082,제 14 기,660544407206,제 13 기,638898688263,47,
45,20200330001667,11011,2019,00561866,BS,재무상태표,ifrs-full_EquityAndLiabilities,자본과부채총계,-,제 15 기,799933632133,제 14 기,739351255215,제 13 기,724665258082,48,
46,20200330001667,11011,2019,00561866,CIS,포괄손익계산서,ifrs-full_Revenue,수익(매출액),-,제 15 기,485992890534,제 14 기,434348760174,제 13 기,417407199297,0,
47,20200330001667,11011,2019,00561866,CIS,포괄손익계산서,ifrs-full_CostOfSales,매출원가,-,제 15 기,272634487875,제 14 기,240338995903,제 13 기,216524613029,1,
48,20200330001667,11011,2019,00561866,CIS,포괄손익계산서,ifrs-full_GrossProfit,매출총이익,-,제 15 기,213358402659,제 14 기,194009764271,제 13 기,200882586268,2,
49,20200330001667,11011,2019,00561866,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 15 기,189042207736,제 14 기,157482044731,제 13 기,149324554816,3,
50,20200330001667,11011,2019,00561866,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 15 기,24316194923,제 14 기,36527719540,제 13 기,51558031452,4,
51,20200330001667,11011,2019,00561866,CIS,포괄손익계산서,ifrs-full_FinanceIncome,금융수익,-,제 15 기,3501078918,제 14 기,3527740160,제 13 기,3220654661,5,
52,20200330001667,11011,2019,00561866,CIS,포괄손익계산서,ifrs-full_FinanceCosts,금융비용,-,제 15 기,1669093442,제 14 기,910719417,제 13 기,6766644077,6,
53,20200330001667,11011,2019,00561866,CIS,포괄손익계산서,dart_OtherGains,기타영업외수익,-,제 15 기,10337126118,제 14 기,9635486923,제 13 기,9236007821,7,
54,20200330001667,11011,2019,00561866,CIS,포괄손익계산서,dart_OtherLosses,기타영업외비용,-,제 15 기,8069720918,제 14 기,11967888572,제 13 기,8043991186,8,
